3x3,   147.txt, astar, disjointPDBMax,     7, 1.29,     7,  6485
3x3,   148.txt, astar, disjointPDBMax,     7, 1.27,     7,  6478
3x3,   149.txt, astar, disjointPDBMax,     7, 1.27,     7,  6433
3x3,   150.txt, astar, disjointPDBMax,     8, 1.31,     7,  6494
3x3,   151.txt, astar, disjointPDBMax,     7, 1.29,     7,  6451
3x3,   152.txt, astar, disjointPDBMax,     7, 1.29,     7,  6432
3x3,    91.txt, astar, disjointPDBMax,     7, 1.27,     7,  6463
3x3,    92.txt, astar, disjointPDBMax,     7, 1.29,     7,  6518
3x3,    93.txt, astar, disjointPDBMax,     7, 1.27,     7,  6592
3x3,    94.txt, astar, disjointPDBMax,     7, 1.29,     7,  6441
3x3,    95.txt, astar, disjointPDBMax,    13, 1.44,     7,  6438
3x3,    96.txt, astar, disjointPDBMax,     7, 1.27,     7,  6493
3x3,    97.txt, astar, disjointPDBMax,     7, 1.27,     7,  6465
3x3,    98.txt, astar, disjointPDBMax,     7, 1.27,     7,  6571
3x3,    99.txt, astar, disjointPDBMax,     7, 1.29,     7,  6421
3x3,   244.txt, astar, disjointPDBMax,     9, 1.26,     8,  6589
3x3,   245.txt, astar, disjointPDBMax,     8, 1.24,     8,  6428
3x3,   246.txt, astar, disjointPDBMax,     8, 1.22,     8,  6476
3x3,   247.txt, astar, disjointPDBMax,     8, 1.22,     8,  6547
3x3,   248.txt, astar, disjointPDBMax,     8, 1.24,     8,  6495
3x3,   249.txt, astar, disjointPDBMax,     8, 1.22,     8,  6430
3x3,   250.txt, astar, disjointPDBMax,     8, 1.24,     8,  6597
3x3,   251.txt, astar, disjointPDBMax,     8, 1.24,     8,  6488
3x3,   252.txt, astar, disjointPDBMax,     8, 1.24,     8,  6364
3x3,   253.txt, astar, disjointPDBMax,     8, 1.24,     8,  6408
3x3,   254.txt, astar, disjointPDBMax,     8, 1.24,     8,  6408
3x3,   255.txt, astar, disjointPDBMax,     8, 1.22,     8,  6649
3x3,   256.txt, astar, disjointPDBMax,     8, 1.24,     8,  6337
3x3,   257.txt, astar, disjointPDBMax,     8, 1.22,     8,  6424
3x3,   258.txt, astar, disjointPDBMax,     8, 1.24,     8,  6380
3x3,   259.txt, astar, disjointPDBMax,     8, 1.24,     8,  6453
3x3,   260.txt, astar, disjointPDBMax,     8, 1.22,     8,  6432
3x3,   261.txt, astar, disjointPDBMax,     8, 1.24,     8,  6418
3x3,   262.txt, astar, disjointPDBMax,     8, 1.24,     8,  6415
3x3,   263.txt, astar, disjointPDBMax,     8, 1.24,     8,  6389
3x3,   264.txt, astar, disjointPDBMax,     8, 1.24,     8,  6509
3x3,   265.txt, astar, disjointPDBMax,     8, 1.24,     8,  6779
3x3,   266.txt, astar, disjointPDBMax,     8, 1.24,     8,  6508
3x3,   267.txt, astar, disjointPDBMax,     8, 1.24,     8,  6408
3x3,   268.txt, astar, disjointPDBMax,     8, 1.24,     8,  6522
3x3,   396.txt, astar, disjointPDBMax,     9, 1.22,     9,  6425
3x3,   397.txt, astar, disjointPDBMax,     9, 1.22,     9,  6363
3x3,   398.txt, astar, disjointPDBMax,     9, 1.22,     9,  6423
3x3,   399.txt, astar, disjointPDBMax,     9, 1.22,     9,  6350
3x3,   400.txt, astar, disjointPDBMax,     9, 1.22,     9,  6478
3x3,   401.txt, astar, disjointPDBMax,     9, 1.22,     9,  6455
3x3,   402.txt, astar, disjointPDBMax,     9, 1.22,     9,  6553
