3x3,   145.txt, astar, disjointPDBVertical,     7, 1.27,     7,  4761
3x3,   146.txt, astar, disjointPDBVertical,     7, 1.29,     7,  4800
3x3,   147.txt, astar, disjointPDBVertical,     7, 1.29,     7,  4806
3x3,   148.txt, astar, disjointPDBVertical,     7, 1.27,     7,  4696
3x3,   149.txt, astar, disjointPDBVertical,     7, 1.27,     7,  4722
3x3,   150.txt, astar, disjointPDBVertical,     8, 1.31,     7,  4647
3x3,   151.txt, astar, disjointPDBVertical,     7, 1.29,     7,  4701
3x3,   152.txt, astar, disjointPDBVertical,     7, 1.29,     7,  4853
3x3,    91.txt, astar, disjointPDBVertical,     7, 1.27,     7,  4829
3x3,    92.txt, astar, disjointPDBVertical,     7, 1.29,     7,  4808
3x3,    93.txt, astar, disjointPDBVertical,     7, 1.27,     7,  4782
3x3,    94.txt, astar, disjointPDBVertical,     7, 1.29,     7,  4833
3x3,    95.txt, astar, disjointPDBVertical,    13, 1.44,     7,  4698
3x3,    96.txt, astar, disjointPDBVertical,     7, 1.27,     7,  4724
3x3,    97.txt, astar, disjointPDBVertical,     7, 1.27,     7,  4748
3x3,    98.txt, astar, disjointPDBVertical,     7, 1.27,     7,  4686
3x3,    99.txt, astar, disjointPDBVertical,     9, 1.34,     7,  4802
3x3,   244.txt, astar, disjointPDBVertical,     9, 1.26,     8,  4772
3x3,   245.txt, astar, disjointPDBVertical,    10, 1.28,     8,  5042
3x3,   246.txt, astar, disjointPDBVertical,     8, 1.22,     8,  4746
3x3,   247.txt, astar, disjointPDBVertical,     8, 1.22,     8,  4731
3x3,   248.txt, astar, disjointPDBVertical,    30, 1.52,     8,  4747
3x3,   249.txt, astar, disjointPDBVertical,     8, 1.22,     8,  4801
3x3,   250.txt, astar, disjointPDBVertical,     9, 1.27,     8,  4804
3x3,   251.txt, astar, disjointPDBVertical,    22, 1.44,     8,  4757
3x3,   252.txt, astar, disjointPDBVertical,     8, 1.24,     8,  4752
3x3,   253.txt, astar, disjointPDBVertical,     8, 1.24,     8,  4850
3x3,   254.txt, astar, disjointPDBVertical,     8, 1.24,     8,  4820
3x3,   255.txt, astar, disjointPDBVertical,     8, 1.22,     8,  4765
3x3,   256.txt, astar, disjointPDBVertical,     8, 1.24,     8,  4690
3x3,   257.txt, astar, disjointPDBVertical,     8, 1.22,     8,  4770
3x3,   258.txt, astar, disjointPDBVertical,     8, 1.24,     8,  4745
3x3,   259.txt, astar, disjointPDBVertical,     8, 1.24,     8,  4779
3x3,   260.txt, astar, disjointPDBVertical,     8, 1.22,     8,  4818
3x3,   261.txt, astar, disjointPDBVertical,    10, 1.28,     8,  4699
3x3,   262.txt, astar, disjointPDBVertical,     8, 1.24,     8,  4853
3x3,   263.txt, astar, disjointPDBVertical,     8, 1.24,     8,  4716
3x3,   264.txt, astar, disjointPDBVertical,    10, 1.28,     8,  4792
3x3,   265.txt, astar, disjointPDBVertical,    12, 1.32,     8,  4911
3x3,   266.txt, astar, disjointPDBVertical,     8, 1.24,     8,  4817
3x3,   267.txt, astar, disjointPDBVertical,     8, 1.24,     8,  4731
3x3,   268.txt, astar, disjointPDBVertical,     8, 1.24,     8,  4729
3x3,   396.txt, astar, disjointPDBVertical,     9, 1.22,     9,  4729
3x3,   397.txt, astar, disjointPDBVertical,    10, 1.24,     9,  4717
