size,heur,expanded,branching,cost,time
4x4,nonAdditiveFringe,15,2.21,4,120195
4x4,nonAdditiveMax,5,2.16,3,120103
4x4,nonAdditiveMax,6,2.26,3,120013
4x4,nonAdditiveMax,5,1.7,4,118852
4x4,nonAdditiveFringe,11,2.11,4,118795
4x4,nonAdditiveMax,4,1.53,4,118636
4x4,nonAdditiveFringe,14,2.24,4,118369
4x4,nonAdditiveFringe,18,2.33,4,117914
4x4,NMaxSwap,3608175,2.19,20,117832
4x4,nonAdditiveFringe,5,2.16,3,117741
4x4,nonAdditiveFringe,10,2.08,4,117516
4x4,nonAdditiveMax,19,2.39,4,117321
4x4,nonAdditiveMax,1,3,1,117233
4x4,nonAdditiveFringe,17,2.36,4,117213
4x4,nonAdditiveFringe,8,2.48,3,117181
4x4,nonAdditiveFringe,1,3,1,117047
4x4,nonAdditiveFringe,4,1.45,4,116974
4x4,nonAdditiveMax,8,1.89,4,116938
4x4,nonAdditiveMax,9,1.94,4,116920
4x4,nonAdditiveMax,6,1.73,4,116899
4x4,nonAdditiveMax,6,1.73,4,116878
4x4,nonAdditiveFringe,9,1.94,4,116798
4x4,nonAdditiveMax,12,2.81,3,116600
4x4,nonAdditiveMax,4,3,2,116437
4x4,nonAdditiveFringe,6,2.26,3,116422
4x4,nonAdditiveMax,8,2.48,3,116406
4x4,nonAdditiveMax,1,3,1,116388
4x4,nonAdditiveFringe,6,1.76,4,116354
4x4,nonAdditiveFringe,26,2.59,4,116337
4x4,nonAdditiveMax,9,1.96,4,116256
4x4,nonAdditiveFringe,4,1.45,4,116166
4x4,nonAdditiveMax,4,1.45,4,116133
4x4,nonAdditiveFringe,13,2.88,3,116049
4x4,nonAdditiveFringe,27,2.61,4,116015
4x4,nonAdditiveMax,5,2.11,3,115876
4x4,nonAdditiveMax,4,1.57,4,115812
4x4,nonAdditiveFringe,3,1.58,3,115697
4x4,nonAdditiveMax,2,2,2,115653
4x4,nonAdditiveFringe,4,3,2,115561
4x4,nonAdditiveFringe,19,2.39,4,115559
4x4,nonAdditiveFringe,6,2.26,3,115475
4x4,nonAdditiveFringe,12,2.15,4,115452
4x4,nonAdditiveFringe,23,2.51,4,115349
4x4,nonAdditiveMax,3,1.58,3,115224
4x4,nonAdditiveMax,15,2.21,4,115221
4x4,nonAdditiveFringe,8,1.89,4,115131
4x4,nonAdditiveFringe,8,1.89,4,115094
4x4,nonAdditiveMax,6,1.76,4,115006
4x4,nonAdditiveMax,26,2.59,4,114977
4x4,nonAdditiveMax,5,1.67,4,114944
4x4,nonAdditiveMax,3,1.58,3,114892
4x4,nonAdditiveFringe,5,2.16,3,114776
4x4,nonAdditiveMax,4,1.45,4,114658
4x4,nonAdditiveFringe,30,2.74,4,114629
4x4,nonAdditiveMax,3,1.74,3,114623
4x4,nonAdditiveFringe,8,2.48,3,114587
4x4,nonAdditiveFringe,1,3,1,114447
4x4,nonAdditiveMax,38,2.91,4,114293
4x4,nonAdditiveMax,8,1.91,4,114177
4x4,nonAdditiveMax,6,1.76,4,113996
4x4,nonAdditiveFringe,2,2,2,113991
4x4,nonAdditiveMax,2,2,2,113987
4x4,nonAdditiveFringe,22,2.51,4,113758
4x4,nonAdditiveFringe,12,2.81,3,113724
4x4,nonAdditiveFringe,2,2,2,113665
4x4,nonAdditiveMax,5,1.39,5,113577
4x4,nonAdditiveFringe,23,2.53,4,113492
4x4,nonAdditiveMax,3,2.7,2,113472
4x4,nonAdditiveFringe,3,2.7,2,113249
4x4,nonAdditiveFringe,46,3.05,4,113236
4x4,nonAdditiveFringe,3,1.58,3,113120
4x4,nonAdditiveFringe,18,2.39,4,112952
4x4,nonAdditiveFringe,9,1.94,4,112833
4x4,nonAdditiveMax,23,2.53,4,112729
4x4,nonAdditiveFringe,7,1.84,4,112428
4x4,nonAdditiveMax,13,2.88,3,112292
4x4,nonAdditiveMax,4,2,3,112268
4x4,nonAdditiveMax,4,1.57,4,112079
4x4,nonAdditiveMax,5,1.67,4,112023
4x4,nonAdditiveFringe,8,1.6,5,111559
4x4,NMaxSwap,3446625,2.19,20,110721
4x4,nonAdditiveMax,7,1.87,4,109639
4x4,NMaxSwap,3025393,2.17,20,85339
4x4,NMaxSwap,2860457,2.26,19,82780
4x4,NMaxSwap,2734789,2.16,20,81837
3x3,NMaxSwap,3478185,2.27,19,77816
3x3,NMaxSwap,3280009,2.01,22,76932
3x3,NMaxSwap,3178526,2.16,20,69919
4x4,NMaxSwap,1991880,2.22,19,53921
3x3,NMaxSwap,2613989,2.24,19,51888
3x3,NMaxSwap,2155077,2.11,20,50735
3x3,NMaxSwap,2824334,2.24,19,50234
3x3,NMaxSwap,2517067,2.13,20,50159
3x3,NMaxSwap,2204459,2.21,19,48322
