3x3,    96.txt, ida, linearConflict,    11, 1.11,     7,    14
3x3,    97.txt, ida, linearConflict,     9, 1.06,     7,    13
3x3,    98.txt, ida, linearConflict,     8, 1.03,     7,    12
3x3,    99.txt, ida, linearConflict,    10, 1.09,     7,    14
3x3,   244.txt, ida, linearConflict,    20, 1.20,     8,    18
3x3,   245.txt, ida, linearConflict,    11, 1.07,     8,    14
3x3,   246.txt, ida, linearConflict,    15, 1.14,     8,    16
3x3,   247.txt, ida, linearConflict,    13, 1.11,     8,    15
3x3,   248.txt, ida, linearConflict,    29, 1.28,     8,    20
3x3,   249.txt, ida, linearConflict,     9, 1.03,     8,    12
3x3,   250.txt, ida, linearConflict,     9, 1.03,     8,    13
3x3,   251.txt, ida, linearConflict,    18, 1.18,     8,    17
3x3,   252.txt, ida, linearConflict,    11, 1.07,     8,    13
3x3,   253.txt, ida, linearConflict,     9, 1.03,     8,    13
3x3,   254.txt, ida, linearConflict,    11, 1.07,     8,    15
3x3,   255.txt, ida, linearConflict,     9, 1.03,     8,    11
3x3,   256.txt, ida, linearConflict,    11, 1.07,     8,    13
3x3,   257.txt, ida, linearConflict,     9, 1.03,     8,    13
3x3,   258.txt, ida, linearConflict,    11, 1.07,     8,    13
3x3,   259.txt, ida, linearConflict,    23, 1.23,     8,    19
3x3,   260.txt, ida, linearConflict,    22, 1.22,     8,    18
3x3,   261.txt, ida, linearConflict,    11, 1.07,     8,    14
3x3,   262.txt, ida, linearConflict,    12, 1.09,     8,    14
3x3,   263.txt, ida, linearConflict,    11, 1.07,     8,    14
3x3,   264.txt, ida, linearConflict,    11, 1.07,     8,    13
3x3,   265.txt, ida, linearConflict,     9, 1.03,     8,    13
3x3,   266.txt, ida, linearConflict,    11, 1.07,     8,    14
3x3,   267.txt, ida, linearConflict,     9, 1.03,     8,    13
3x3,   268.txt, ida, linearConflict,    11, 1.07,     8,    13
3x3,   396.txt, ida, linearConflict,    14, 1.09,     9,    15
3x3,   397.txt, ida, linearConflict,    10, 1.02,     9,    14
3x3,   398.txt, ida, linearConflict,    10, 1.02,     9,    13
3x3,   399.txt, ida, linearConflict,    12, 1.06,     9,    14
3x3,   400.txt, ida, linearConflict,    12, 1.06,     9,    14
3x3,   401.txt, ida, linearConflict,    10, 1.02,     9,    13
3x3,   402.txt, ida, linearConflict,    10, 1.02,     9,    13
3x3,   403.txt, ida, linearConflict,    10, 1.02,     9,    12
3x3,   404.txt, ida, linearConflict,    11, 1.04,     9,    14
3x3,   405.txt, ida, linearConflict,    11, 1.04,     9,    13
3x3,   406.txt, ida, linearConflict,    12, 1.06,     9,    15
3x3,   407.txt, ida, linearConflict,    24, 1.19,     9,    19
3x3,   408.txt, ida, linearConflict,    12, 1.06,     9,    15
3x3,   409.txt, ida, linearConflict,    11, 1.04,     9,    13
3x3,   410.txt, ida, linearConflict,    11, 1.04,     9,    13
3x3,   411.txt, ida, linearConflict,    35, 1.27,     9,    24
3x3,   412.txt, ida, linearConflict,    13, 1.07,     9,    15
3x3,   413.txt, ida, linearConflict,    14, 1.09,     9,    15
3x3,   414.txt, ida, linearConflict,    12, 1.06,     9,    14
3x3,   415.txt, ida, linearConflict,    14, 1.09,     9,    16
3x3,   416.txt, ida, linearConflict,    12, 1.06,     9,    13
3x3,   417.txt, ida, linearConflict,    13, 1.07,     9,    14
3x3,   418.txt, ida, linearConflict,    13, 1.07,     9,    15
3x3,   419.txt, ida, linearConflict,    13, 1.07,     9,    15
3x3,   420.txt, ida, linearConflict,    13, 1.07,     9,    15
3x3,   682.txt, ida, linearConflict,    11, 1.02,    10,    12
3x3,   683.txt, ida, linearConflict,    35, 1.22,    10,    23
3x3,   684.txt, ida, linearConflict,   108, 1.42,    10,    37
3x3,   685.txt, ida, linearConflict,    61, 1.32,    10,    28
3x3,   686.txt, ida, linearConflict,    12, 1.03,    10,    14
3x3,   687.txt, ida, linearConflict,    16, 1.08,    10,    14
3x3,   688.txt, ida, linearConflict,    13, 1.05,    10,    13
3x3,   689.txt, ida, linearConflict,    13, 1.05,    10,    16
3x3,   690.txt, ida, linearConflict,    11, 1.02,    10,    14
3x3,   691.txt, ida, linearConflict,    29, 1.19,    10,    20
3x3,   692.txt, ida, linearConflict,    24, 1.15,    10,    20
3x3,   693.txt, ida, linearConflict,    37, 1.23,    10,    25
3x3,   694.txt, ida, linearConflict,    12, 1.03,    10,    15
3x3,   695.txt, ida, linearConflict,    13, 1.05,    10,    14
3x3,   696.txt, ida, linearConflict,    80, 1.36,    10,    34
3x3,   697.txt, ida, linearConflict,    24, 1.15,    10,    19
3x3,   698.txt, ida, linearConflict,    16, 1.08,    10,    15
3x3,   699.txt, ida, linearConflict,    13, 1.05,    10,    14
3x3,   700.txt, ida, linearConflict,    15, 1.07,    10,    16
3x3,   701.txt, ida, linearConflict,    14, 1.06,    10,    15
3x3,   702.txt, ida, linearConflict,    11, 1.02,    10,    15
3x3,   703.txt, ida, linearConflict,    15, 1.07,    10,    14
3x3,   704.txt, ida, linearConflict,    15, 1.07,    10,    15
3x3,   705.txt, ida, linearConflict,    41, 1.25,    10,    26
3x3,   706.txt, ida, linearConflict,    11, 1.02,    10,    13
3x3,   975.txt, ida, linearConflict,    53, 1.25,    11,    27
3x3,   976.txt, ida, linearConflict,    62, 1.27,    11,    30
3x3,   977.txt, ida, linearConflict,    12, 1.01,    11,    13
3x3,   978.txt, ida, linearConflict,    26, 1.14,    11,    20
3x3,   979.txt, ida, linearConflict,    20, 1.10,    11,    18
3x3,   980.txt, ida, linearConflict,   251, 1.50,    11,    54
3x3,   981.txt, ida, linearConflict,    64, 1.28,    11,    31
3x3,   982.txt, ida, linearConflict,    93, 1.34,    11,    35
3x3,   983.txt, ida, linearConflict,    27, 1.14,    11,    19
3x3,   984.txt, ida, linearConflict,    47, 1.23,    11,    26
3x3,   985.txt, ida, linearConflict,    17, 1.07,    11,    15
3x3,   986.txt, ida, linearConflict,    14, 1.04,    11,    14
3x3,   987.txt, ida, linearConflict,    31, 1.17,    11,    21
3x3,   988.txt, ida, linearConflict,    15, 1.05,    11,    15
