3x3,   141.txt, astar, disjointPDBHorizontal,     7, 1.29,     7,  4716
3x3,   142.txt, astar, disjointPDBHorizontal,     7, 1.27,     7,  4809
3x3,   143.txt, astar, disjointPDBHorizontal,     7, 1.29,     7,  4749
3x3,   144.txt, astar, disjointPDBHorizontal,     7, 1.29,     7,  4850
3x3,   145.txt, astar, disjointPDBHorizontal,     7, 1.27,     7,  4738
3x3,   146.txt, astar, disjointPDBHorizontal,     9, 1.34,     7,  4732
3x3,   147.txt, astar, disjointPDBHorizontal,     9, 1.34,     7,  4734
3x3,   148.txt, astar, disjointPDBHorizontal,     7, 1.27,     7,  4812
3x3,   149.txt, astar, disjointPDBHorizontal,     7, 1.27,     7,  4761
3x3,   150.txt, astar, disjointPDBHorizontal,    17, 1.49,     7,  4877
3x3,   151.txt, astar, disjointPDBHorizontal,     9, 1.34,     7,  4721
3x3,   152.txt, astar, disjointPDBHorizontal,    17, 1.49,     7,  4896
3x3,    91.txt, astar, disjointPDBHorizontal,     7, 1.27,     7,  4731
3x3,    92.txt, astar, disjointPDBHorizontal,     9, 1.34,     7,  4704
3x3,    93.txt, astar, disjointPDBHorizontal,     7, 1.27,     7,  4738
3x3,    94.txt, astar, disjointPDBHorizontal,     7, 1.29,     7,  4763
3x3,    95.txt, astar, disjointPDBHorizontal,    13, 1.44,     7,  4806
3x3,    96.txt, astar, disjointPDBHorizontal,     7, 1.27,     7,  4817
3x3,    97.txt, astar, disjointPDBHorizontal,     7, 1.27,     7,  4872
3x3,    98.txt, astar, disjointPDBHorizontal,     7, 1.27,     7,  4694
3x3,    99.txt, astar, disjointPDBHorizontal,     7, 1.29,     7,  4735
3x3,   244.txt, astar, disjointPDBHorizontal,    22, 1.44,     8,  4764
3x3,   245.txt, astar, disjointPDBHorizontal,     8, 1.24,     8,  4855
3x3,   246.txt, astar, disjointPDBHorizontal,     8, 1.22,     8,  4832
3x3,   247.txt, astar, disjointPDBHorizontal,     8, 1.22,     8,  4743
3x3,   248.txt, astar, disjointPDBHorizontal,     8, 1.24,     8,  4793
3x3,   249.txt, astar, disjointPDBHorizontal,     8, 1.22,     8,  4775
3x3,   250.txt, astar, disjointPDBHorizontal,     8, 1.24,     8,  4824
3x3,   251.txt, astar, disjointPDBHorizontal,     8, 1.24,     8,  4794
3x3,   252.txt, astar, disjointPDBHorizontal,     8, 1.24,     8,  4795
3x3,   253.txt, astar, disjointPDBHorizontal,     8, 1.24,     8,  4829
3x3,   254.txt, astar, disjointPDBHorizontal,    10, 1.28,     8,  4704
3x3,   255.txt, astar, disjointPDBHorizontal,     8, 1.22,     8,  4776
3x3,   256.txt, astar, disjointPDBHorizontal,     8, 1.24,     8,  4765
3x3,   257.txt, astar, disjointPDBHorizontal,     8, 1.22,     8,  4761
3x3,   258.txt, astar, disjointPDBHorizontal,    10, 1.28,     8,  4714
3x3,   259.txt, astar, disjointPDBHorizontal,     8, 1.24,     8,  4691
3x3,   260.txt, astar, disjointPDBHorizontal,     8, 1.22,     8,  4792
3x3,   261.txt, astar, disjointPDBHorizontal,     8, 1.24,     8,  4776
3x3,   262.txt, astar, disjointPDBHorizontal,     8, 1.24,     8,  4853
3x3,   263.txt, astar, disjointPDBHorizontal,    10, 1.28,     8,  4771
3x3,   264.txt, astar, disjointPDBHorizontal,     8, 1.24,     8,  4686
3x3,   265.txt, astar, disjointPDBHorizontal,     8, 1.24,     8,  4914
3x3,   266.txt, astar, disjointPDBHorizontal,    10, 1.28,     8,  4760
3x3,   267.txt, astar, disjointPDBHorizontal,     8, 1.24,     8,  4749
3x3,   268.txt, astar, disjointPDBHorizontal,    10, 1.28,     8,  4801
3x3,   396.txt, astar, disjointPDBHorizontal,     9, 1.22,     9,  4756
3x3,   397.txt, astar, disjointPDBHorizontal,     9, 1.22,     9,  4747
3x3,   398.txt, astar, disjointPDBHorizontal,     9, 1.22,     9,  4761
3x3,   399.txt, astar, disjointPDBHorizontal,     9, 1.22,     9,  4763
3x3,   400.txt, astar, disjointPDBHorizontal,    11, 1.25,     9,  4814
3x3,   401.txt, astar, disjointPDBHorizontal,     9, 1.22,     9,  4750
3x3,   402.txt, astar, disjointPDBHorizontal,     9, 1.22,     9,  4787
3x3,   403.txt, astar, disjointPDBHorizontal,     9, 1.20,     9,  4700
3x3,   404.txt, astar, disjointPDBHorizontal,     9, 1.22,     9,  4757
3x3,   405.txt, astar, disjointPDBHorizontal,     9, 1.22,     9,  4678
3x3,   406.txt, astar, disjointPDBHorizontal,     9, 1.22,     9,  4671
3x3,   407.txt, astar, disjointPDBHorizontal,     9, 1.20,     9,  4850
3x3,   408.txt, astar, disjointPDBHorizontal,    11, 1.25,     9,  4741
3x3,   409.txt, astar, disjointPDBHorizontal,     9, 1.22,     9,  4735
3x3,   410.txt, astar, disjointPDBHorizontal,    10, 1.23,     9,  4805
3x3,   411.txt, astar, disjointPDBHorizontal,     9, 1.22,     9,  4758
3x3,   412.txt, astar, disjointPDBHorizontal,     9, 1.22,     9,  4750
3x3,   413.txt, astar, disjointPDBHorizontal,     9, 1.22,     9,  4710
3x3,   414.txt, astar, disjointPDBHorizontal,    11, 1.25,     9,  4736
3x3,   415.txt, astar, disjointPDBHorizontal,     9, 1.22,     9,  4910
3x3,   416.txt, astar, disjointPDBHorizontal,     9, 1.22,     9,  4737
3x3,   417.txt, astar, disjointPDBHorizontal,     9, 1.22,     9,  4722
3x3,   418.txt, astar, disjointPDBHorizontal,     9, 1.22,     9,  4678
3x3,   419.txt, astar, disjointPDBHorizontal,     9, 1.22,     9,  4726
3x3,   420.txt, astar, disjointPDBHorizontal,    17, 1.33,     9,  4706
3x3,   682.txt, astar, disjointPDBHorizontal,    10, 1.18,    10,  4745
3x3,   683.txt, astar, disjointPDBHorizontal,    40, 1.41,    10,  4710
3x3,   684.txt, astar, disjointPDBHorizontal,    11, 1.20,    10,  4846
3x3,   685.txt, astar, disjointPDBHorizontal,    10, 1.19,    10,  4739
3x3,   686.txt, astar, disjointPDBHorizontal,    10, 1.19,    10,  4750
3x3,   687.txt, astar, disjointPDBHorizontal,    10, 1.18,    10,  4750
3x3,   688.txt, astar, disjointPDBHorizontal,    10, 1.18,    10,  4879
3x3,   689.txt, astar, disjointPDBHorizontal,    10, 1.19,    10,  4831
3x3,   690.txt, astar, disjointPDBHorizontal,    10, 1.16,    10,  4717
3x3,   691.txt, astar, disjointPDBHorizontal,    10, 1.19,    10,  4796
3x3,   692.txt, astar, disjointPDBHorizontal,    10, 1.19,    10,  4744
3x3,   693.txt, astar, disjointPDBHorizontal,    10, 1.19,    10,  4827
3x3,   694.txt, astar, disjointPDBHorizontal,    10, 1.19,    10,  4716
3x3,   695.txt, astar, disjointPDBHorizontal,    12, 1.22,    10,  4750
3x3,   696.txt, astar, disjointPDBHorizontal,    10, 1.20,    10,  4699
3x3,   697.txt, astar, disjointPDBHorizontal,    13, 1.23,    10,  4737
3x3,   698.txt, astar, disjointPDBHorizontal,    18, 1.28,    10,  4705
3x3,   699.txt, astar, disjointPDBHorizontal,    10, 1.20,    10,  4805
3x3,   700.txt, astar, disjointPDBHorizontal,    12, 1.23,    10,  4725
3x3,   701.txt, astar, disjointPDBHorizontal,    10, 1.19,    10,  4799
3x3,   702.txt, astar, disjointPDBHorizontal,    12, 1.22,    10,  4770
3x3,   703.txt, astar, disjointPDBHorizontal,    15, 1.26,    10,  4732
3x3,   704.txt, astar, disjointPDBHorizontal,    10, 1.19,    10,  4747
3x3,   705.txt, astar, disjointPDBHorizontal,    26, 1.36,    10,  4780
3x3,   706.txt, astar, disjointPDBHorizontal,    10, 1.18,    10,  4855
3x3,   975.txt, astar, disjointPDBHorizontal,    11, 1.17,    11,  4816
3x3,   976.txt, astar, disjointPDBHorizontal,    58, 1.42,    11,  4723
3x3,   977.txt, astar, disjointPDBHorizontal,    11, 1.16,    11,  4692
3x3,   978.txt, astar, disjointPDBHorizontal,    11, 1.18,    11,  4761
3x3,   979.txt, astar, disjointPDBHorizontal,    11, 1.18,    11,  4755
3x3,   980.txt, astar, disjointPDBHorizontal,    11, 1.16,    11,  4779
