3x3,   143.txt, astar, nonAdditiveFringe,    35, 1.70,     7,  5063
3x3,   144.txt, astar, nonAdditiveFringe,    36, 1.71,     7,  5014
3x3,   145.txt, astar, nonAdditiveFringe,     7, 1.27,     7,  5164
3x3,   146.txt, astar, nonAdditiveFringe,     9, 1.34,     7,  5098
3x3,   147.txt, astar, nonAdditiveFringe,     9, 1.34,     7,  5168
3x3,   148.txt, astar, nonAdditiveFringe,     7, 1.27,     7,  5126
3x3,   149.txt, astar, nonAdditiveFringe,     9, 1.32,     7,  5132
3x3,   150.txt, astar, nonAdditiveFringe,     8, 1.32,     7,  5019
3x3,   151.txt, astar, nonAdditiveFringe,     8, 1.32,     7,  5010
3x3,   152.txt, astar, nonAdditiveFringe,     9, 1.34,     7,  5101
3x3,    91.txt, astar, nonAdditiveFringe,     7, 1.27,     7,  5102
3x3,    92.txt, astar, nonAdditiveFringe,     8, 1.32,     7,  5056
3x3,    93.txt, astar, nonAdditiveFringe,     7, 1.27,     7,  5075
3x3,    94.txt, astar, nonAdditiveFringe,    16, 1.49,     7,  5047
3x3,    95.txt, astar, nonAdditiveFringe,    14, 1.46,     7,  5134
3x3,    96.txt, astar, nonAdditiveFringe,     7, 1.27,     7,  5066
3x3,    97.txt, astar, nonAdditiveFringe,     9, 1.32,     7,  5088
3x3,    98.txt, astar, nonAdditiveFringe,   186, 2.23,     7,  5177
3x3,    99.txt, astar, nonAdditiveFringe,     8, 1.32,     7,  5146
3x3,   244.txt, astar, nonAdditiveFringe,    10, 1.28,     8,  5082
3x3,   245.txt, astar, nonAdditiveFringe,    37, 1.58,     8,  5140
3x3,   246.txt, astar, nonAdditiveFringe,     9, 1.25,     8,  5113
3x3,   247.txt, astar, nonAdditiveFringe,     9, 1.25,     8,  5175
3x3,   248.txt, astar, nonAdditiveFringe,    59, 1.69,     8,  5127
3x3,   249.txt, astar, nonAdditiveFringe,     8, 1.22,     8,  5126
3x3,   250.txt, astar, nonAdditiveFringe,    10, 1.28,     8,  4999
3x3,   251.txt, astar, nonAdditiveFringe,    59, 1.69,     8,  5217
3x3,   252.txt, astar, nonAdditiveFringe,    26, 1.50,     8,  5068
3x3,   253.txt, astar, nonAdditiveFringe,     9, 1.27,     8,  5005
3x3,   254.txt, astar, nonAdditiveFringe,    18, 1.43,     8,  5096
3x3,   255.txt, astar, nonAdditiveFringe,     8, 1.22,     8,  5083
3x3,   256.txt, astar, nonAdditiveFringe,    26, 1.50,     8,  5079
3x3,   257.txt, astar, nonAdditiveFringe,    10, 1.27,     8,  5155
3x3,   258.txt, astar, nonAdditiveFringe,    19, 1.43,     8,  5057
3x3,   259.txt, astar, nonAdditiveFringe,     9, 1.27,     8,  5129
3x3,   260.txt, astar, nonAdditiveFringe,     8, 1.22,     8,  5200
3x3,   261.txt, astar, nonAdditiveFringe,    37, 1.58,     8,  5005
3x3,   262.txt, astar, nonAdditiveFringe,     8, 1.24,     8,  5013
3x3,   263.txt, astar, nonAdditiveFringe,    10, 1.28,     8,  5035
3x3,   264.txt, astar, nonAdditiveFringe,    37, 1.58,     8,  5256
3x3,   265.txt, astar, nonAdditiveFringe,     8, 1.24,     8,  5301
3x3,   266.txt, astar, nonAdditiveFringe,    10, 1.28,     8,  5103
3x3,   267.txt, astar, nonAdditiveFringe,     8, 1.24,     8,  5102
3x3,   268.txt, astar, nonAdditiveFringe,     9, 1.27,     8,  5107
3x3,   396.txt, astar, nonAdditiveFringe,    74, 1.63,     9,  5089
3x3,   397.txt, astar, nonAdditiveFringe,    11, 1.25,     9,  5070
3x3,   398.txt, astar, nonAdditiveFringe,    11, 1.25,     9,  5084
3x3,   399.txt, astar, nonAdditiveFringe,    89, 1.66,     9,  5135
3x3,   400.txt, astar, nonAdditiveFringe,   130, 1.76,     9,  5061
3x3,   401.txt, astar, nonAdditiveFringe,    85, 1.65,     9,  5076
3x3,   402.txt, astar, nonAdditiveFringe,    85, 1.65,     9,  5025
3x3,   403.txt, astar, nonAdditiveFringe,     9, 1.20,     9,  5060
3x3,   404.txt, astar, nonAdditiveFringe,   300, 1.95,     9,  5144
3x3,   405.txt, astar, nonAdditiveFringe,   300, 1.95,     9,  5120
3x3,   406.txt, astar, nonAdditiveFringe,    74, 1.63,     9,  4982
3x3,   407.txt, astar, nonAdditiveFringe,     9, 1.20,     9,  5034
3x3,   408.txt, astar, nonAdditiveFringe,   132, 1.76,     9,  5129
3x3,   409.txt, astar, nonAdditiveFringe,    11, 1.25,     9,  5249
3x3,   410.txt, astar, nonAdditiveFringe,    11, 1.25,     9,  5068
3x3,   411.txt, astar, nonAdditiveFringe,    10, 1.24,     9,  5029
3x3,   412.txt, astar, nonAdditiveFringe,     9, 1.22,     9,  5092
3x3,   413.txt, astar, nonAdditiveFringe,     9, 1.22,     9,  5045
3x3,   414.txt, astar, nonAdditiveFringe,    11, 1.25,     9,  5042
3x3,   415.txt, astar, nonAdditiveFringe,    74, 1.63,     9,  5023
3x3,   416.txt, astar, nonAdditiveFringe,   257, 1.91,     9,  5050
3x3,   417.txt, astar, nonAdditiveFringe,   461, 2.05,     9,  5070
3x3,   418.txt, astar, nonAdditiveFringe,     9, 1.22,     9,  5072
3x3,   419.txt, astar, nonAdditiveFringe,     9, 1.22,     9,  5174
3x3,   420.txt, astar, nonAdditiveFringe,    17, 1.33,     9,  4997
3x3,   682.txt, astar, nonAdditiveFringe,    10, 1.18,    10,  5068
3x3,   683.txt, astar, nonAdditiveFringe,    11, 1.20,    10,  5152
3x3,   684.txt, astar, nonAdditiveFringe,    10, 1.19,    10,  5079
3x3,   685.txt, astar, nonAdditiveFringe,    10, 1.19,    10,  5091
3x3,   686.txt, astar, nonAdditiveFringe,   405, 1.87,    10,  5292
