3x3,   152.txt, astar, NMaxSwap,     9, 1.34,     7,    24
3x3,    91.txt, astar, NMaxSwap,     7, 1.27,     7,    23
3x3,    92.txt, astar, NMaxSwap,    15, 1.47,     7,    26
3x3,    93.txt, astar, NMaxSwap,     7, 1.27,     7,    24
3x3,    94.txt, astar, NMaxSwap,    14, 1.46,     7,    26
3x3,    95.txt, astar, NMaxSwap,    24, 1.61,     7,    31
3x3,    96.txt, astar, NMaxSwap,    12, 1.41,     7,    24
3x3,    97.txt, astar, NMaxSwap,     8, 1.31,     7,    25
3x3,    98.txt, astar, NMaxSwap,    23, 1.58,     7,    29
3x3,    99.txt, astar, NMaxSwap,     8, 1.32,     7,    23
3x3,   244.txt, astar, NMaxSwap,    42, 1.61,     8,    36
3x3,   245.txt, astar, NMaxSwap,    12, 1.33,     8,    28
3x3,   246.txt, astar, NMaxSwap,    21, 1.46,     8,    31
3x3,   247.txt, astar, NMaxSwap,    12, 1.33,     8,    29
3x3,   248.txt, astar, NMaxSwap,    46, 1.64,     8,    41
3x3,   249.txt, astar, NMaxSwap,     9, 1.25,     8,    25
3x3,   250.txt, astar, NMaxSwap,   398, 2.24,     8,    92
3x3,   251.txt, astar, NMaxSwap,    32, 1.54,     8,    35
3x3,   252.txt, astar, NMaxSwap,    15, 1.37,     8,    27
3x3,   253.txt, astar, NMaxSwap,    12, 1.33,     8,    27
3x3,   254.txt, astar, NMaxSwap,    10, 1.29,     8,    25
3x3,   255.txt, astar, NMaxSwap,    22, 1.46,     8,    30
3x3,   256.txt, astar, NMaxSwap,    18, 1.41,     8,    27
3x3,   257.txt, astar, NMaxSwap,   130, 1.90,     8,    53
3x3,   258.txt, astar, NMaxSwap,    12, 1.33,     8,    25
3x3,   259.txt, astar, NMaxSwap,    79, 1.80,     8,    46
3x3,   260.txt, astar, NMaxSwap,   231, 2.06,     8,    69
3x3,   261.txt, astar, NMaxSwap,    15, 1.37,     8,    27
3x3,   262.txt, astar, NMaxSwap,   108, 1.86,     8,    50
3x3,   263.txt, astar, NMaxSwap,    16, 1.38,     8,    27
3x3,   264.txt, astar, NMaxSwap,    18, 1.41,     8,    26
3x3,   265.txt, astar, NMaxSwap,     9, 1.27,     8,    23
3x3,   266.txt, astar, NMaxSwap,    28, 1.52,     8,    30
3x3,   267.txt, astar, NMaxSwap,     9, 1.27,     8,    24
3x3,   268.txt, astar, NMaxSwap,    16, 1.38,     8,    26
3x3,   396.txt, astar, NMaxSwap,    25, 1.41,     9,    29
3x3,   397.txt, astar, NMaxSwap,   375, 2.01,     9,    88
3x3,   398.txt, astar, NMaxSwap,   353, 1.99,     9,    85
3x3,   399.txt, astar, NMaxSwap,    40, 1.49,     9,    35
3x3,   400.txt, astar, NMaxSwap,    62, 1.45,    11,    41
3x3,   401.txt, astar, NMaxSwap,    26, 1.42,     9,    31
3x3,   402.txt, astar, NMaxSwap,    41, 1.50,     9,    35
3x3,   403.txt, astar, NMaxSwap,   211, 1.87,     9,    66
3x3,   404.txt, astar, NMaxSwap,    99, 1.70,     9,    49
3x3,   405.txt, astar, NMaxSwap,    77, 1.64,     9,    44
3x3,   406.txt, astar, NMaxSwap,    43, 1.51,     9,    34
3x3,   407.txt, astar, NMaxSwap,    55, 1.56,     9,    37
3x3,   408.txt, astar, NMaxSwap,    26, 1.42,     9,    30
3x3,   409.txt, astar, NMaxSwap,    39, 1.50,     9,    35
3x3,   410.txt, astar, NMaxSwap,    88, 1.69,     9,    45
3x3,   411.txt, astar, NMaxSwap,   191, 1.87,     9,    65
3x3,   412.txt, astar, NMaxSwap,    22, 1.39,     9,    30
3x3,   413.txt, astar, NMaxSwap,    21, 1.38,     9,    29
3x3,   414.txt, astar, NMaxSwap,    52, 1.54,     9,    37
3x3,   415.txt, astar, NMaxSwap,    41, 1.51,     9,    36
3x3,   416.txt, astar, NMaxSwap,   257, 1.93,     9,    75
3x3,   417.txt, astar, NMaxSwap,    80, 1.65,     9,    45
3x3,   418.txt, astar, NMaxSwap,   123, 1.75,     9,    53
3x3,   419.txt, astar, NMaxSwap,    21, 1.38,     9,    29
3x3,   420.txt, astar, NMaxSwap,    27, 1.43,     9,    31
3x3,   682.txt, astar, NMaxSwap,   261, 1.78,    10,    73
3x3,   683.txt, astar, NMaxSwap,  1539, 2.18,    10,   149
3x3,   684.txt, astar, NMaxSwap,   726, 1.99,    10,   107
3x3,   685.txt, astar, NMaxSwap,   931, 2.05,    10,   114
3x3,   686.txt, astar, NMaxSwap,    95, 1.59,    10,    47
3x3,   687.txt, astar, NMaxSwap,    27, 1.35,    10,    30
3x3,   688.txt, astar, NMaxSwap,  1456, 2.14,    10,   137
3x3,   689.txt, astar, NMaxSwap,    55, 1.48,    10,    39
3x3,   690.txt, astar, NMaxSwap,    59, 1.51,    10,    41
3x3,   691.txt, astar, NMaxSwap,   524, 1.94,    10,    99
3x3,   692.txt, astar, NMaxSwap,    82, 1.56,    10,    45
