boardID,algo,heur,size,expanded,branching,time,cost
151.txt,astar,disjointPDBHorizontal,3x3,9,0.34,4721,7
152.txt,astar,disjointPDBHorizontal,3x3,17,0.49,4896,7
91.txt,astar,disjointPDBHorizontal,3x3,7,0.27,4731,7
92.txt,astar,disjointPDBHorizontal,3x3,9,0.34,4704,7
93.txt,astar,disjointPDBHorizontal,3x3,7,0.27,4738,7
94.txt,astar,disjointPDBHorizontal,3x3,7,0.29,4763,7
95.txt,astar,disjointPDBHorizontal,3x3,13,0.44,4806,7
96.txt,astar,disjointPDBHorizontal,3x3,7,0.27,4817,7
97.txt,astar,disjointPDBHorizontal,3x3,7,0.27,4872,7
98.txt,astar,disjointPDBHorizontal,3x3,7,0.27,4694,7
99.txt,astar,disjointPDBHorizontal,3x3,7,0.29,4735,7
244.txt,astar,disjointPDBHorizontal,3x3,22,0.44,4764,8
245.txt,astar,disjointPDBHorizontal,3x3,8,0.24,4855,8
246.txt,astar,disjointPDBHorizontal,3x3,8,0.22,4832,8
247.txt,astar,disjointPDBHorizontal,3x3,8,0.22,4743,8
248.txt,astar,disjointPDBHorizontal,3x3,8,0.24,4793,8
249.txt,astar,disjointPDBHorizontal,3x3,8,0.22,4775,8
250.txt,astar,disjointPDBHorizontal,3x3,8,0.24,4824,8
251.txt,astar,disjointPDBHorizontal,3x3,8,0.24,4794,8
252.txt,astar,disjointPDBHorizontal,3x3,8,0.24,4795,8
253.txt,astar,disjointPDBHorizontal,3x3,8,0.24,4829,8
254.txt,astar,disjointPDBHorizontal,3x3,10,0.28,4704,8
255.txt,astar,disjointPDBHorizontal,3x3,8,0.22,4776,8
256.txt,astar,disjointPDBHorizontal,3x3,8,0.24,4765,8
257.txt,astar,disjointPDBHorizontal,3x3,8,0.22,4761,8
258.txt,astar,disjointPDBHorizontal,3x3,10,0.28,4714,8
259.txt,astar,disjointPDBHorizontal,3x3,8,0.24,4691,8
260.txt,astar,disjointPDBHorizontal,3x3,8,0.22,4792,8
261.txt,astar,disjointPDBHorizontal,3x3,8,0.24,4776,8
262.txt,astar,disjointPDBHorizontal,3x3,8,0.24,4853,8
263.txt,astar,disjointPDBHorizontal,3x3,10,0.28,4771,8
264.txt,astar,disjointPDBHorizontal,3x3,8,0.24,4686,8
265.txt,astar,disjointPDBHorizontal,3x3,8,0.24,4914,8
266.txt,astar,disjointPDBHorizontal,3x3,10,0.28,4760,8
267.txt,astar,disjointPDBHorizontal,3x3,8,0.24,4749,8
268.txt,astar,disjointPDBHorizontal,3x3,10,0.28,4801,8
396.txt,astar,disjointPDBHorizontal,3x3,9,0.22,4756,9
397.txt,astar,disjointPDBHorizontal,3x3,9,0.22,4747,9
398.txt,astar,disjointPDBHorizontal,3x3,9,0.22,4761,9
399.txt,astar,disjointPDBHorizontal,3x3,9,0.22,4763,9
400.txt,astar,disjointPDBHorizontal,3x3,11,0.25,4814,9
401.txt,astar,disjointPDBHorizontal,3x3,9,0.22,4750,9
402.txt,astar,disjointPDBHorizontal,3x3,9,0.22,4787,9
403.txt,astar,disjointPDBHorizontal,3x3,9,0.2,4700,9
404.txt,astar,disjointPDBHorizontal,3x3,9,0.22,4757,9
405.txt,astar,disjointPDBHorizontal,3x3,9,0.22,4678,9
406.txt,astar,disjointPDBHorizontal,3x3,9,0.22,4671,9
407.txt,astar,disjointPDBHorizontal,3x3,9,0.2,4850,9
408.txt,astar,disjointPDBHorizontal,3x3,11,0.25,4741,9
409.txt,astar,disjointPDBHorizontal,3x3,9,0.22,4735,9
410.txt,astar,disjointPDBHorizontal,3x3,10,0.23,4805,9
411.txt,astar,disjointPDBHorizontal,3x3,9,0.22,4758,9
412.txt,astar,disjointPDBHorizontal,3x3,9,0.22,4750,9
413.txt,astar,disjointPDBHorizontal,3x3,9,0.22,4710,9
414.txt,astar,disjointPDBHorizontal,3x3,11,0.25,4736,9
415.txt,astar,disjointPDBHorizontal,3x3,9,0.22,4910,9
416.txt,astar,disjointPDBHorizontal,3x3,9,0.22,4737,9
417.txt,astar,disjointPDBHorizontal,3x3,9,0.22,4722,9
418.txt,astar,disjointPDBHorizontal,3x3,9,0.22,4678,9
419.txt,astar,disjointPDBHorizontal,3x3,9,0.22,4726,9
420.txt,astar,disjointPDBHorizontal,3x3,17,0.33,4706,9
682.txt,astar,disjointPDBHorizontal,3x3,10,0.18,4745,10
683.txt,astar,disjointPDBHorizontal,3x3,40,0.41,4710,10
684.txt,astar,disjointPDBHorizontal,3x3,11,0.2,4846,10
685.txt,astar,disjointPDBHorizontal,3x3,10,0.19,4739,10
686.txt,astar,disjointPDBHorizontal,3x3,10,0.19,4750,10
687.txt,astar,disjointPDBHorizontal,3x3,10,0.18,4750,10
688.txt,astar,disjointPDBHorizontal,3x3,10,0.18,4879,10
689.txt,astar,disjointPDBHorizontal,3x3,10,0.19,4831,10
690.txt,astar,disjointPDBHorizontal,3x3,10,0.16,4717,10
691.txt,astar,disjointPDBHorizontal,3x3,10,0.19,4796,10
692.txt,astar,disjointPDBHorizontal,3x3,10,0.19,4744,10
693.txt,astar,disjointPDBHorizontal,3x3,10,0.19,4827,10
694.txt,astar,disjointPDBHorizontal,3x3,10,0.19,4716,10
695.txt,astar,disjointPDBHorizontal,3x3,12,0.22,4750,10
696.txt,astar,disjointPDBHorizontal,3x3,10,0.2,4699,10
697.txt,astar,disjointPDBHorizontal,3x3,13,0.23,4737,10
698.txt,astar,disjointPDBHorizontal,3x3,18,0.28,4705,10
699.txt,astar,disjointPDBHorizontal,3x3,10,0.2,4805,10
700.txt,astar,disjointPDBHorizontal,3x3,12,0.23,4725,10
701.txt,astar,disjointPDBHorizontal,3x3,10,0.19,4799,10
702.txt,astar,disjointPDBHorizontal,3x3,12,0.22,4770,10
703.txt,astar,disjointPDBHorizontal,3x3,15,0.26,4732,10
704.txt,astar,disjointPDBHorizontal,3x3,10,0.19,4747,10
705.txt,astar,disjointPDBHorizontal,3x3,26,0.36,4780,10
706.txt,astar,disjointPDBHorizontal,3x3,10,0.18,4855,10
975.txt,astar,disjointPDBHorizontal,3x3,11,0.17,4816,11
976.txt,astar,disjointPDBHorizontal,3x3,58,0.42,4723,11
977.txt,astar,disjointPDBHorizontal,3x3,11,0.16,4692,11
978.txt,astar,disjointPDBHorizontal,3x3,11,0.18,4761,11
979.txt,astar,disjointPDBHorizontal,3x3,11,0.18,4755,11
980.txt,astar,disjointPDBHorizontal,3x3,11,0.16,4779,11
981.txt,astar,disjointPDBHorizontal,3x3,11,0.17,4763,11
982.txt,astar,disjointPDBHorizontal,3x3,11,0.18,4730,11
983.txt,astar,disjointPDBHorizontal,3x3,11,0.18,4722,11
984.txt,astar,disjointPDBHorizontal,3x3,11,0.17,4737,11
985.txt,astar,disjointPDBHorizontal,3x3,11,0.16,4817,11
986.txt,astar,disjointPDBHorizontal,3x3,11,0.18,4858,11
987.txt,astar,disjointPDBHorizontal,3x3,11,0.18,4873,11
988.txt,astar,disjointPDBHorizontal,3x3,11,0.17,4783,11
989.txt,astar,disjointPDBHorizontal,3x3,13,0.2,5081,11
990.txt,astar,disjointPDBHorizontal,3x3,45,0.38,4755,11
991.txt,astar,disjointPDBHorizontal,3x3,33,0.33,4747,11
992.txt,astar,disjointPDBHorizontal,3x3,20,0.27,4768,11
993.txt,astar,disjointPDBHorizontal,3x3,11,0.17,4744,11
994.txt,astar,disjointPDBHorizontal,3x3,20,0.27,4785,11
995.txt,astar,disjointPDBHorizontal,3x3,13,0.19,4802,11
996.txt,astar,disjointPDBHorizontal,3x3,12,0.18,4788,11
997.txt,astar,disjointPDBHorizontal,3x3,11,0.16,4740,11
998.txt,astar,disjointPDBHorizontal,3x3,11,0.17,4880,11
999.txt,astar,disjointPDBHorizontal,3x3,19,0.26,4807,11
1826.txt,astar,disjointPDBHorizontal,3x3,12,0.14,4803,12
1827.txt,astar,disjointPDBHorizontal,3x3,12,0.15,4761,12
1828.txt,astar,disjointPDBHorizontal,3x3,18,0.21,4781,12
1829.txt,astar,disjointPDBHorizontal,3x3,12,0.16,4749,12
1830.txt,astar,disjointPDBHorizontal,3x3,12,0.15,4743,12
1831.txt,astar,disjointPDBHorizontal,3x3,14,0.18,4762,12
1832.txt,astar,disjointPDBHorizontal,3x3,14,0.18,4721,12
1833.txt,astar,disjointPDBHorizontal,3x3,62,0.37,4759,12
1834.txt,astar,disjointPDBHorizontal,3x3,13,0.16,4715,12
1835.txt,astar,disjointPDBHorizontal,3x3,36,0.3,4805,12
1836.txt,astar,disjointPDBHorizontal,3x3,14,0.18,4786,12
1837.txt,astar,disjointPDBHorizontal,3x3,19,0.21,4778,12
1838.txt,astar,disjointPDBHorizontal,3x3,12,0.16,4813,12
1839.txt,astar,disjointPDBHorizontal,3x3,15,0.18,4765,12
1840.txt,astar,disjointPDBHorizontal,3x3,12,0.14,4718,12
1841.txt,astar,disjointPDBHorizontal,3x3,19,0.22,5129,12
1842.txt,astar,disjointPDBHorizontal,3x3,69,0.39,4868,12
1843.txt,astar,disjointPDBHorizontal,3x3,12,0.15,4747,12
1844.txt,astar,disjointPDBHorizontal,3x3,12,0.15,4746,12
1845.txt,astar,disjointPDBHorizontal,3x3,12,0.16,4732,12
1846.txt,astar,disjointPDBHorizontal,3x3,14,0.18,4767,12
1847.txt,astar,disjointPDBHorizontal,3x3,16,0.19,4753,12
1848.txt,astar,disjointPDBHorizontal,3x3,12,0.13,4801,12
1849.txt,astar,disjointPDBHorizontal,3x3,23,0.25,4785,12
1850.txt,astar,disjointPDBHorizontal,3x3,26,0.26,4776,12
2850.txt,astar,disjointPDBHorizontal,3x3,14,0.15,4719,13
2851.txt,astar,disjointPDBHorizontal,3x3,25,0.23,4660,13
2852.txt,astar,disjointPDBHorizontal,3x3,13,0.15,4766,13
2853.txt,astar,disjointPDBHorizontal,3x3,13,0.14,4948,13
2854.txt,astar,disjointPDBHorizontal,3x3,55,0.32,4807,13
2855.txt,astar,disjointPDBHorizontal,3x3,13,0.15,4733,13
2856.txt,astar,disjointPDBHorizontal,3x3,14,0.15,4798,13
2857.txt,astar,disjointPDBHorizontal,3x3,19,0.19,4733,13
2858.txt,astar,disjointPDBHorizontal,3x3,14,0.15,4768,13
2859.txt,astar,disjointPDBHorizontal,3x3,14,0.15,4764,13
2860.txt,astar,disjointPDBHorizontal,3x3,13,0.14,4819,13
2861.txt,astar,disjointPDBHorizontal,3x3,16,0.17,4688,13
