boardID,algo,heur,size,expanded,branching,time,cost
256.txt,astar,linearConflict,3x3,10,0.28,44,8
257.txt,astar,linearConflict,3x3,8,0.22,42,8
258.txt,astar,linearConflict,3x3,10,0.28,44,8
259.txt,astar,linearConflict,3x3,27,0.52,51,8
260.txt,astar,linearConflict,3x3,23,0.45,49,8
261.txt,astar,linearConflict,3x3,10,0.28,44,8
262.txt,astar,linearConflict,3x3,11,0.31,44,8
263.txt,astar,linearConflict,3x3,10,0.28,43,8
264.txt,astar,linearConflict,3x3,10,0.28,44,8
265.txt,astar,linearConflict,3x3,12,0.32,43,8
266.txt,astar,linearConflict,3x3,10,0.28,43,8
267.txt,astar,linearConflict,3x3,12,0.32,44,8
268.txt,astar,linearConflict,3x3,10,0.28,44,8
396.txt,astar,linearConflict,3x3,13,0.28,46,9
397.txt,astar,linearConflict,3x3,9,0.22,44,9
398.txt,astar,linearConflict,3x3,9,0.22,42,9
399.txt,astar,linearConflict,3x3,11,0.25,45,9
400.txt,astar,linearConflict,3x3,11,0.25,45,9
401.txt,astar,linearConflict,3x3,10,0.23,43,9
402.txt,astar,linearConflict,3x3,11,0.25,44,9
403.txt,astar,linearConflict,3x3,9,0.2,43,9
404.txt,astar,linearConflict,3x3,12,0.27,45,9
405.txt,astar,linearConflict,3x3,10,0.24,44,9
406.txt,astar,linearConflict,3x3,11,0.25,45,9
407.txt,astar,linearConflict,3x3,28,0.42,51,9
408.txt,astar,linearConflict,3x3,11,0.25,44,9
409.txt,astar,linearConflict,3x3,10,0.23,44,9
410.txt,astar,linearConflict,3x3,13,0.27,45,9
411.txt,astar,linearConflict,3x3,40,0.5,56,9
412.txt,astar,linearConflict,3x3,12,0.26,45,9
413.txt,astar,linearConflict,3x3,13,0.27,45,9
414.txt,astar,linearConflict,3x3,13,0.28,45,9
415.txt,astar,linearConflict,3x3,13,0.28,45,9
416.txt,astar,linearConflict,3x3,14,0.29,45,9
417.txt,astar,linearConflict,3x3,12,0.27,45,9
418.txt,astar,linearConflict,3x3,12,0.27,45,9
419.txt,astar,linearConflict,3x3,13,0.27,45,9
420.txt,astar,linearConflict,3x3,22,0.37,49,9
682.txt,astar,linearConflict,3x3,10,0.18,42,10
683.txt,astar,linearConflict,3x3,62,0.5,62,10
684.txt,astar,linearConflict,3x3,159,0.67,78,10
685.txt,astar,linearConflict,3x3,70,0.52,63,10
686.txt,astar,linearConflict,3x3,11,0.2,43,10
687.txt,astar,linearConflict,3x3,15,0.24,45,10
688.txt,astar,linearConflict,3x3,18,0.27,47,10
689.txt,astar,linearConflict,3x3,12,0.22,45,10
690.txt,astar,linearConflict,3x3,10,0.16,43,10
691.txt,astar,linearConflict,3x3,48,0.45,57,10
692.txt,astar,linearConflict,3x3,21,0.31,48,10
693.txt,astar,linearConflict,3x3,42,0.44,57,10
694.txt,astar,linearConflict,3x3,11,0.2,45,10
695.txt,astar,linearConflict,3x3,12,0.22,44,10
696.txt,astar,linearConflict,3x3,149,0.67,78,10
697.txt,astar,linearConflict,3x3,24,0.33,49,10
698.txt,astar,linearConflict,3x3,24,0.33,50,10
699.txt,astar,linearConflict,3x3,15,0.25,46,10
700.txt,astar,linearConflict,3x3,16,0.27,46,10
701.txt,astar,linearConflict,3x3,13,0.23,45,10
702.txt,astar,linearConflict,3x3,12,0.22,47,10
703.txt,astar,linearConflict,3x3,24,0.34,51,10
704.txt,astar,linearConflict,3x3,14,0.23,45,10
705.txt,astar,linearConflict,3x3,73,0.53,64,10
706.txt,astar,linearConflict,3x3,10,0.18,43,10
